job_role,required_skills,job_description,job_full_text
oracle developer,"Oracle Database, SQL, PL/SQL, Database Development",develops database applications using oracle technologies.,"role: oracle developer [SEP] description: develops database applications using oracle technologies. [SEP] skills: Oracle Database, SQL, PL/SQL, Database Development"
oracle sql developer,"Oracle SQL, PL/SQL, Data Modeling, Database Design",develops and optimizes sql queries and database schemas in oracle environments.,"role: oracle sql developer [SEP] description: develops and optimizes sql queries and database schemas in oracle environments. [SEP] skills: Oracle SQL, PL/SQL, Data Modeling, Database Design"
packer engineer,"Packer, Infrastructure as Code, Cloud Computing, Automation",creates machine images using packer for consistent infrastructure deployment.,"role: packer engineer [SEP] description: creates machine images using packer for consistent infrastructure deployment. [SEP] skills: Packer, Infrastructure as Code, Cloud Computing, Automation"
php developer,"PHP, MySQL, Web Development, Frameworks (Laravel, Symfony)",develops web applications using php and related technologies.,"role: php developer [SEP] description: develops web applications using php and related technologies. [SEP] skills: PHP, MySQL, Web Development, Frameworks (Laravel, Symfony)"
powershell engineer,"PowerShell, Automation, Windows Server Administration, Scripting",develops automation scripts and tools using powershell for windows environments.,"role: powershell engineer [SEP] description: develops automation scripts and tools using powershell for windows environments. [SEP] skills: PowerShell, Automation, Windows Server Administration, Scripting"
principle engineer in artificial intelligence,"AI/ML Architecture, Leadership, Strategic Planning, Deep Learning",leads and designs ai/ml solutions providing technical guidance and strategic direction.,"role: principle engineer in artificial intelligence [SEP] description: leads and designs ai/ml solutions providing technical guidance and strategic direction. [SEP] skills: AI/ML Architecture, Leadership, Strategic Planning, Deep Learning"
principle engineer in big data,"Big Data Architecture, Hadoop, Spark, Data Warehousing",leads and designs big data solutions providing technical expertise and guidance.,"role: principle engineer in big data [SEP] description: leads and designs big data solutions providing technical expertise and guidance. [SEP] skills: Big Data Architecture, Hadoop, Spark, Data Warehousing"
principle engineer in data analysis,"Data Analysis, Statistical Modeling, Data Visualization, Leadership",leads data analysis initiatives providing expertise and guidance on analytical techniques.,"role: principle engineer in data analysis [SEP] description: leads data analysis initiatives providing expertise and guidance on analytical techniques. [SEP] skills: Data Analysis, Statistical Modeling, Data Visualization, Leadership"
principle engineer in machine learning,"Machine Learning Algorithms, Model Development, Deployment, Leadership",leads machine learning initiatives providing expertise and guidance on model development and deployment.,"role: principle engineer in machine learning [SEP] description: leads machine learning initiatives providing expertise and guidance on model development and deployment. [SEP] skills: Machine Learning Algorithms, Model Development, Deployment, Leadership"
product manager,"Product Strategy, Market Analysis, Requirements Gathering, Product Roadmap",defines and manages product strategy gathering requirements and prioritizing features.,"role: product manager [SEP] description: defines and manages product strategy gathering requirements and prioritizing features. [SEP] skills: Product Strategy, Market Analysis, Requirements Gathering, Product Roadmap"
production support engineer,"Troubleshooting, Incident Management, System Monitoring, Technical Support",provides technical support for production systems resolving incidents and ensuring stability.,"role: production support engineer [SEP] description: provides technical support for production systems resolving incidents and ensuring stability. [SEP] skills: Troubleshooting, Incident Management, System Monitoring, Technical Support"
puppet operations engineer,"Puppet, Configuration Management, Automation, Infrastructure as Code",manages and automates infrastructure configuration using puppet.,"role: puppet operations engineer [SEP] description: manages and automates infrastructure configuration using puppet. [SEP] skills: Puppet, Configuration Management, Automation, Infrastructure as Code"
senior build and release engineer,"CI/CD Pipelines, Build Systems, Automation, Configuration Management",manages build and release processes ensuring smooth and reliable software deployments.,"role: senior build and release engineer [SEP] description: manages build and release processes ensuring smooth and reliable software deployments. [SEP] skills: CI/CD Pipelines, Build Systems, Automation, Configuration Management"
senior build engineer,"Build Systems, Scripting, Automation, Software Configuration Management",develops and maintains build systems automating software compilation and testing.,"role: senior build engineer [SEP] description: develops and maintains build systems automating software compilation and testing. [SEP] skills: Build Systems, Scripting, Automation, Software Configuration Management"
senior devops engineer,"DevOps Practices, Cloud Computing, Automation, System Architecture",leads devops initiatives designing and implementing automation solutions.,"role: senior devops engineer [SEP] description: leads devops initiatives designing and implementing automation solutions. [SEP] skills: DevOps Practices, Cloud Computing, Automation, System Architecture"
site reliability engineer kubernetes docker,"Kubernetes, Docker, System Reliability, Automation, Monitoring",ensures the reliability and performance of systems running on kubernetes and docker.,"role: site reliability engineer kubernetes docker [SEP] description: ensures the reliability and performance of systems running on kubernetes and docker. [SEP] skills: Kubernetes, Docker, System Reliability, Automation, Monitoring"
splunk engineer,"Splunk, Log Management, Data Analysis, System Monitoring",configures and manages splunk for log analysis monitoring and security insights.,"role: splunk engineer [SEP] description: configures and manages splunk for log analysis monitoring and security insights. [SEP] skills: Splunk, Log Management, Data Analysis, System Monitoring"
xl deploy engineer,"XL Deploy, Deployment Automation, DevOps Practices, Configuration Management",configures and manages xl deploy for automating application deployments.,"role: xl deploy engineer [SEP] description: configures and manages xl deploy for automating application deployments. [SEP] skills: XL Deploy, Deployment Automation, DevOps Practices, Configuration Management"
zabbix engineer,"Zabbix, System Monitoring, Network Monitoring, Alerting",configures and manages zabbix for monitoring systems networks and applications.,"role: zabbix engineer [SEP] description: configures and manages zabbix for monitoring systems networks and applications. [SEP] skills: Zabbix, System Monitoring, Network Monitoring, Alerting"
api developer,"API Design, RESTful Services, Programming Languages, Security",develops and implements apis for integrating systems and applications.,"role: api developer [SEP] description: develops and implements apis for integrating systems and applications. [SEP] skills: API Design, RESTful Services, Programming Languages, Security"
automation specialist,"Automation Tools, Scripting, Process Improvement, Testing",designs and implements automation solutions to improve efficiency and reduce manual effort.,"role: automation specialist [SEP] description: designs and implements automation solutions to improve efficiency and reduce manual effort. [SEP] skills: Automation Tools, Scripting, Process Improvement, Testing"
business intelligence analyst,"Data Analysis, SQL, Data Visualization, Business Acumen",analyzes data to provide insights and support business decision-making.,"role: business intelligence analyst [SEP] description: analyzes data to provide insights and support business decision-making. [SEP] skills: Data Analysis, SQL, Data Visualization, Business Acumen"
cloud migration specialist,"Cloud Platforms, Migration Tools, System Migration, Project Management",plans and executes cloud migration projects ensuring smooth transitions.,"role: cloud migration specialist [SEP] description: plans and executes cloud migration projects ensuring smooth transitions. [SEP] skills: Cloud Platforms, Migration Tools, System Migration, Project Management"
cybersecurity analyst,"Security Protocols, Threat Analysis, Compliance, Incident Response",protects computer systems and networks from cyber threats.,"role: cybersecurity analyst [SEP] description: protects computer systems and networks from cyber threats. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Incident Response"
data quality engineer,"Data Quality Tools, Data Profiling, SQL, Data Governance",ensures data quality by profiling monitoring and improving data accuracy and consistency.,"role: data quality engineer [SEP] description: ensures data quality by profiling monitoring and improving data accuracy and consistency. [SEP] skills: Data Quality Tools, Data Profiling, SQL, Data Governance"
digital transformation consultant,"Digital Strategy, Technology Consulting, Business Process Improvement, Change Management",advises organizations on digital transformation initiatives driving innovation and efficiency.,"role: digital transformation consultant [SEP] description: advises organizations on digital transformation initiatives driving innovation and efficiency. [SEP] skills: Digital Strategy, Technology Consulting, Business Process Improvement, Change Management"
e-commerce developer,"E-Commerce Platforms, Web Development, Payment Gateways, Security",develops and maintains e-commerce websites and applications.,"role: e-commerce developer [SEP] description: develops and maintains e-commerce websites and applications. [SEP] skills: E-Commerce Platforms, Web Development, Payment Gateways, Security"
embedded systems engineer,"Embedded Systems, C/C++, Firmware Development, Hardware Interfaces",develops software for embedded systems integrating hardware and software components.,"role: embedded systems engineer [SEP] description: develops software for embedded systems integrating hardware and software components. [SEP] skills: Embedded Systems, C/C++, Firmware Development, Hardware Interfaces"
erp consultant,"ERP Systems, Business Process Analysis, Implementation, Training",consults on erp system implementation customization and support.,"role: erp consultant [SEP] description: consults on erp system implementation customization and support. [SEP] skills: ERP Systems, Business Process Analysis, Implementation, Training"
geographic information systems gis analyst,"GIS Software, Spatial Analysis, Cartography, Data Visualization",analyzes spatial data using gis software to create maps and provide insights.,"role: geographic information systems gis analyst [SEP] description: analyzes spatial data using gis software to create maps and provide insights. [SEP] skills: GIS Software, Spatial Analysis, Cartography, Data Visualization"
help desk technician,"Technical Support, Troubleshooting, Customer Service, Hardware/Software",provides technical support to end-users resolving hardware and software issues.,"role: help desk technician [SEP] description: provides technical support to end-users resolving hardware and software issues. [SEP] skills: Technical Support, Troubleshooting, Customer Service, Hardware/Software"
identity and access management specialist,"IAM Systems, Security Protocols, Authentication, Authorization",manages identity and access control systems ensuring secure access to resources.,"role: identity and access management specialist [SEP] description: manages identity and access control systems ensuring secure access to resources. [SEP] skills: IAM Systems, Security Protocols, Authentication, Authorization"
infrastructure architect,"System Architecture, Cloud Computing, Networking, Security",designs and plans it infrastructure ensuring scalability reliability and security.,"role: infrastructure architect [SEP] description: designs and plans it infrastructure ensuring scalability reliability and security. [SEP] skills: System Architecture, Cloud Computing, Networking, Security"
internet of things iot developer,"IoT Platforms, Embedded Systems, Sensor Technology, Programming Languages",develops applications for iot devices and platforms connecting devices and analyzing data.,"role: internet of things iot developer [SEP] description: develops applications for iot devices and platforms connecting devices and analyzing data. [SEP] skills: IoT Platforms, Embedded Systems, Sensor Technology, Programming Languages"
it auditor,"IT Auditing, Compliance, Risk Management, Security",conducts it audits to ensure compliance and identify security risks.,"role: it auditor [SEP] description: conducts it audits to ensure compliance and identify security risks. [SEP] skills: IT Auditing, Compliance, Risk Management, Security"
java architect,"Java, System Architecture, Design Patterns, Cloud Computing",designs and leads the development of java-based systems ensuring scalability and maintainability.,"role: java architect [SEP] description: designs and leads the development of java-based systems ensuring scalability and maintainability. [SEP] skills: Java, System Architecture, Design Patterns, Cloud Computing"
linux administrator,"Linux Servers, System Administration, Scripting, Troubleshooting",manages and maintains linux servers ensuring system stability and security.,"role: linux administrator [SEP] description: manages and maintains linux servers ensuring system stability and security. [SEP] skills: Linux Servers, System Administration, Scripting, Troubleshooting"
mainframe developer,"Mainframe Systems, COBOL, JCL, VSAM",develops and maintains applications on mainframe systems.,"role: mainframe developer [SEP] description: develops and maintains applications on mainframe systems. [SEP] skills: Mainframe Systems, COBOL, JCL, VSAM"
microsoft dynamics developer,"Microsoft Dynamics, CRM, .NET, Development",develops and customizes microsoft dynamics crm solutions.,"role: microsoft dynamics developer [SEP] description: develops and customizes microsoft dynamics crm solutions. [SEP] skills: Microsoft Dynamics, CRM, .NET, Development"
mobile security specialist,"Mobile Security, Penetration Testing, Security Protocols, Risk Management",ensures the security of mobile devices and applications conducting assessments and implementing security measures.,"role: mobile security specialist [SEP] description: ensures the security of mobile devices and applications conducting assessments and implementing security measures. [SEP] skills: Mobile Security, Penetration Testing, Security Protocols, Risk Management"
natural language processing engineer,"NLP Algorithms, Python, Machine Learning, Text Analysis",develops nlp models for various applications such as chatbots and text analysis tools.,"role: natural language processing engineer [SEP] description: develops nlp models for various applications such as chatbots and text analysis tools. [SEP] skills: NLP Algorithms, Python, Machine Learning, Text Analysis"
network architect,"Network Design, Network Protocols, Security, System Architecture",designs and plans computer networks.,"role: network architect [SEP] description: designs and plans computer networks. [SEP] skills: Network Design, Network Protocols, Security, System Architecture"
penetration tester,"Penetration Testing, Security Audits, Ethical Hacking, Vulnerability Assessment",conducts penetration tests to identify security vulnerabilities in systems and applications.,"role: penetration tester [SEP] description: conducts penetration tests to identify security vulnerabilities in systems and applications. [SEP] skills: Penetration Testing, Security Audits, Ethical Hacking, Vulnerability Assessment"
python architect,"Python, System Architecture, Design Patterns, Cloud Computing",designs and leads the development of python-based systems ensuring scalability and maintainability.,"role: python architect [SEP] description: designs and leads the development of python-based systems ensuring scalability and maintainability. [SEP] skills: Python, System Architecture, Design Patterns, Cloud Computing"
quality assurance manager,"QA Processes, Test Automation, Test Planning, Team Leadership",manages quality assurance processes ensuring software quality through testing and automation.,"role: quality assurance manager [SEP] description: manages quality assurance processes ensuring software quality through testing and automation. [SEP] skills: QA Processes, Test Automation, Test Planning, Team Leadership"
release manager,"Release Management, CI/CD Pipelines, Coordination, Communication",manages software releases coordinating activities and ensuring smooth deployments.,"role: release manager [SEP] description: manages software releases coordinating activities and ensuring smooth deployments. [SEP] skills: Release Management, CI/CD Pipelines, Coordination, Communication"
sap consultant,"SAP Modules, Business Process Analysis, Implementation, Customization",consults on sap system implementation customization and support.,"role: sap consultant [SEP] description: consults on sap system implementation customization and support. [SEP] skills: SAP Modules, Business Process Analysis, Implementation, Customization"
ux/ui designer,"UX/UI Design, User Research, Prototyping, Usability Testing",designs user interfaces and experiences ensuring usability and aesthetic appeal.,"role: ux/ui designer [SEP] description: designs user interfaces and experiences ensuring usability and aesthetic appeal. [SEP] skills: UX/UI Design, User Research, Prototyping, Usability Testing"
web developer,"HTML, CSS, JavaScript, Web Development, Frameworks",develops web applications implementing front-end and back-end components.,"role: web developer [SEP] description: develops web applications implementing front-end and back-end components. [SEP] skills: HTML, CSS, JavaScript, Web Development, Frameworks"
back end developer,"Server-Side Programming, Databases, API Development, Frameworks",develops the server-side logic and apis for web applications.,"role: back end developer [SEP] description: develops the server-side logic and apis for web applications. [SEP] skills: Server-Side Programming, Databases, API Development, Frameworks"
web designer,"Web Design, Graphic Design, UI/UX Principles, Wireframing",creates visual designs and layouts for websites ensuring aesthetic appeal and usability.,"role: web designer [SEP] description: creates visual designs and layouts for websites ensuring aesthetic appeal and usability. [SEP] skills: Web Design, Graphic Design, UI/UX Principles, Wireframing"
web engineer,"Web Technologies, System Architecture, Performance Optimization, Security",designs and implements web infrastructure ensuring scalability and reliability.,"role: web engineer [SEP] description: designs and implements web infrastructure ensuring scalability and reliability. [SEP] skills: Web Technologies, System Architecture, Performance Optimization, Security"
web producer,"Web Content Management, Project Management, Content Strategy, Collaboration",manages the creation and delivery of web content coordinating with stakeholders.,"role: web producer [SEP] description: manages the creation and delivery of web content coordinating with stakeholders. [SEP] skills: Web Content Management, Project Management, Content Strategy, Collaboration"
web project manager,"Project Management, Web Development, Communication, Budgeting",manages web development projects ensuring they are completed on time and within budget.,"role: web project manager [SEP] description: manages web development projects ensuring they are completed on time and within budget. [SEP] skills: Project Management, Web Development, Communication, Budgeting"
web content manager,"Content Creation, Content Strategy, CMS, SEO",manages web content ensuring it is accurate engaging and optimized for search engines.,"role: web content manager [SEP] description: manages web content ensuring it is accurate engaging and optimized for search engines. [SEP] skills: Content Creation, Content Strategy, CMS, SEO"
multimedia architect,"Multimedia Design, Video Production, Audio Production, Graphic Design",designs and produces multimedia content for various platforms.,"role: multimedia architect [SEP] description: designs and produces multimedia content for various platforms. [SEP] skills: Multimedia Design, Video Production, Audio Production, Graphic Design"
web analytics developer,"Web Analytics Tools, Data Analysis, Reporting, A/B Testing",implements web analytics tools and analyzes data to improve website performance.,"role: web analytics developer [SEP] description: implements web analytics tools and analyzes data to improve website performance. [SEP] skills: Web Analytics Tools, Data Analysis, Reporting, A/B Testing"
seo consultant,"Search Engine Optimization, Keyword Research, Content Optimization, Link Building",advises on seo strategies improving website visibility and organic traffic.,"role: seo consultant [SEP] description: advises on seo strategies improving website visibility and organic traffic. [SEP] skills: Search Engine Optimization, Keyword Research, Content Optimization, Link Building"
seo manager,"SEO Strategy, Team Leadership, Performance Monitoring, Reporting",manages seo initiatives leading teams and monitoring performance.,"role: seo manager [SEP] description: manages seo initiatives leading teams and monitoring performance. [SEP] skills: SEO Strategy, Team Leadership, Performance Monitoring, Reporting"
internet engineer,"Networking Protocols, Internet Technologies, System Administration, Security",designs implements and manages internet infrastructure.,"role: internet engineer [SEP] description: designs implements and manages internet infrastructure. [SEP] skills: Networking Protocols, Internet Technologies, System Administration, Security"
front-end designer,"HTML, CSS, JavaScript, UI/UX Design, Responsive Design",designs the visual elements and user interface of web applications.,"role: front-end designer [SEP] description: designs the visual elements and user interface of web applications. [SEP] skills: HTML, CSS, JavaScript, UI/UX Design, Responsive Design"
mobile developer,"Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages",develops mobile applications for ios and android platforms.,"role: mobile developer [SEP] description: develops mobile applications for ios and android platforms. [SEP] skills: Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages"
python developer,"Python, Web Frameworks (Django, Flask), Data Analysis, Scripting",develops applications using python focusing on back-end development and automation.,"role: python developer [SEP] description: develops applications using python focusing on back-end development and automation. [SEP] skills: Python, Web Frameworks (Django, Flask), Data Analysis, Scripting"
power bi developer,"Power BI, Data Modeling, DAX, Data Visualization",develops interactive dashboards and reports using power bi.,"role: power bi developer [SEP] description: develops interactive dashboards and reports using power bi. [SEP] skills: Power BI, Data Modeling, DAX, Data Visualization"
power bi analyst,"Power BI, Data Analysis, SQL, Business Intelligence",analyzes data using power bi to provide insights and support business decision-making.,"role: power bi analyst [SEP] description: analyzes data using power bi to provide insights and support business decision-making. [SEP] skills: Power BI, Data Analysis, SQL, Business Intelligence"
cloud computing specialist,"Cloud Platforms, Virtualization, System Administration, Security",manages and maintains cloud infrastructure ensuring availability and performance.,"role: cloud computing specialist [SEP] description: manages and maintains cloud infrastructure ensuring availability and performance. [SEP] skills: Cloud Platforms, Virtualization, System Administration, Security"
cybersecurity specialist,"Security Protocols, Threat Analysis, Compliance, Incident Response",protects computer systems and networks from cyber threats.,"role: cybersecurity specialist [SEP] description: protects computer systems and networks from cyber threats. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Incident Response"
data science specialist,"Data Analysis, Machine Learning, Statistical Modeling, Data Visualization",applies data science techniques to analyze data and solve business problems.,"role: data science specialist [SEP] description: applies data science techniques to analyze data and solve business problems. [SEP] skills: Data Analysis, Machine Learning, Statistical Modeling, Data Visualization"
artificial intelligence engineer,"AI/ML Algorithms, Python, Deep Learning, Neural Networks",develops ai models and applications implementing machine learning algorithms.,"role: artificial intelligence engineer [SEP] description: develops ai models and applications implementing machine learning algorithms. [SEP] skills: AI/ML Algorithms, Python, Deep Learning, Neural Networks"
database architect,"Database Design, Data Modeling, SQL, Performance Tuning",designs and manages database systems ensuring data integrity and performance.,"role: database architect [SEP] description: designs and manages database systems ensuring data integrity and performance. [SEP] skills: Database Design, Data Modeling, SQL, Performance Tuning"
software architect,"System Architecture, Design Patterns, Programming Languages, Cloud Computing",designs and leads the development of software systems ensuring scalability and maintainability.,"role: software architect [SEP] description: designs and leads the development of software systems ensuring scalability and maintainability. [SEP] skills: System Architecture, Design Patterns, Programming Languages, Cloud Computing"
cybersecurity engineer,"Security Protocols, Threat Analysis, Risk Management, Incident Response",implements and manages security measures to protect computer systems and networks.,"role: cybersecurity engineer [SEP] description: implements and manages security measures to protect computer systems and networks. [SEP] skills: Security Protocols, Threat Analysis, Risk Management, Incident Response"
infosec analyst/cybersecurity analyst,"Security Protocols, Threat Analysis, Compliance, Incident Response",protects computer systems and networks from cyber threats.,"role: infosec analyst/cybersecurity analyst [SEP] description: protects computer systems and networks from cyber threats. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Incident Response"
computer forensic analyst,"Digital Forensics, Incident Response, Data Recovery, Legal Compliance",investigates cybercrimes and security incidents collecting and analyzing digital evidence.,"role: computer forensic analyst [SEP] description: investigates cybercrimes and security incidents collecting and analyzing digital evidence. [SEP] skills: Digital Forensics, Incident Response, Data Recovery, Legal Compliance"
it security specialist,"Security Protocols, Threat Analysis, Compliance, Risk Management",implements and manages security measures to protect computer systems and networks.,"role: it security specialist [SEP] description: implements and manages security measures to protect computer systems and networks. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Risk Management"
security manager,"Security Management, Risk Assessment, Compliance, Team Leadership",manages security teams and initiatives ensuring the protection of it assets.,"role: security manager [SEP] description: manages security teams and initiatives ensuring the protection of it assets. [SEP] skills: Security Management, Risk Assessment, Compliance, Team Leadership"
security engineer,"Security Protocols, Threat Analysis, Risk Management, Incident Response",implements and manages security measures to protect computer systems and networks.,"role: security engineer [SEP] description: implements and manages security measures to protect computer systems and networks. [SEP] skills: Security Protocols, Threat Analysis, Risk Management, Incident Response"
security consultant,"Security Consulting, Risk Assessment, Compliance, Security Solutions",provides security consulting services assessing risks and recommending security solutions.,"role: security consultant [SEP] description: provides security consulting services assessing risks and recommending security solutions. [SEP] skills: Security Consulting, Risk Assessment, Compliance, Security Solutions"
director of security,"Security Leadership, Risk Management, Compliance, Incident Response",leads security teams and initiatives providing strategic direction and ensuring compliance.,"role: director of security [SEP] description: leads security teams and initiatives providing strategic direction and ensuring compliance. [SEP] skills: Security Leadership, Risk Management, Compliance, Incident Response"
security administrator,"Security Tools, System Administration, User Management, Security Policies",administers security systems managing user access and enforcing security policies.,"role: security administrator [SEP] description: administers security systems managing user access and enforcing security policies. [SEP] skills: Security Tools, System Administration, User Management, Security Policies"
security specialist,"Security Protocols, Threat Analysis, Compliance, Risk Management",implements and manages security measures to protect computer systems and networks.,"role: security specialist [SEP] description: implements and manages security measures to protect computer systems and networks. [SEP] skills: Security Protocols, Threat Analysis, Compliance, Risk Management"
chief information officer,"IT Strategy, Leadership, Budgeting, Project Management",leads it organizations defining it strategy and overseeing it operations.,"role: chief information officer [SEP] description: leads it organizations defining it strategy and overseeing it operations. [SEP] skills: IT Strategy, Leadership, Budgeting, Project Management"
network security engineer,"Networking Protocols, Security Protocols, Firewall Management, Intrusion Detection",implements and manages network security measures protecting networks from threats.,"role: network security engineer [SEP] description: implements and manages network security measures protecting networks from threats. [SEP] skills: Networking Protocols, Security Protocols, Firewall Management, Intrusion Detection"
machine learning engineer for cybersecurity,"Machine Learning Algorithms, Cybersecurity, Data Analysis, Threat Detection",develops machine learning models for cybersecurity applications such as threat detection and fraud prevention.,"role: machine learning engineer for cybersecurity [SEP] description: develops machine learning models for cybersecurity applications such as threat detection and fraud prevention. [SEP] skills: Machine Learning Algorithms, Cybersecurity, Data Analysis, Threat Detection"
network analyst,"Network Monitoring, Troubleshooting, Performance Analysis, Reporting",monitors network performance troubleshoots issues and provides performance reports.,"role: network analyst [SEP] description: monitors network performance troubleshoots issues and provides performance reports. [SEP] skills: Network Monitoring, Troubleshooting, Performance Analysis, Reporting"
network operations engineer,"Network Operations, Troubleshooting, Monitoring, Incident Response",manages day-to-day network operations resolving issues and ensuring network availability.,"role: network operations engineer [SEP] description: manages day-to-day network operations resolving issues and ensuring network availability. [SEP] skills: Network Operations, Troubleshooting, Monitoring, Incident Response"
network reliability engineer,"Network Reliability, Automation, Monitoring, Incident Response",ensures the reliability and performance of network infrastructure implementing automation and monitoring solutions.,"role: network reliability engineer [SEP] description: ensures the reliability and performance of network infrastructure implementing automation and monitoring solutions. [SEP] skills: Network Reliability, Automation, Monitoring, Incident Response"
network infrastructure specialist,"Networking Hardware, Cabling, Network Design, Implementation",installs configures and maintains network infrastructure including cabling and hardware.,"role: network infrastructure specialist [SEP] description: installs configures and maintains network infrastructure including cabling and hardware. [SEP] skills: Networking Hardware, Cabling, Network Design, Implementation"
computer support specialist,"Technical Support, Troubleshooting, Customer Service, Hardware/Software",provides technical support to end-users resolving hardware and software issues.,"role: computer support specialist [SEP] description: provides technical support to end-users resolving hardware and software issues. [SEP] skills: Technical Support, Troubleshooting, Customer Service, Hardware/Software"
information technology analyst,"IT Analysis, Requirements Gathering, Process Improvement, IT Consulting",analyzes it systems and processes recommending improvements and providing it consulting services.,"role: information technology analyst [SEP] description: analyzes it systems and processes recommending improvements and providing it consulting services. [SEP] skills: IT Analysis, Requirements Gathering, Process Improvement, IT Consulting"
technology sales consultant,"Sales, Technology Solutions, Customer Relationship Management, Technical Expertise",sells technology solutions providing technical expertise and building customer relationships.,"role: technology sales consultant [SEP] description: sells technology solutions providing technical expertise and building customer relationships. [SEP] skills: Sales, Technology Solutions, Customer Relationship Management, Technical Expertise"
database developer,"Database Development, SQL, PL/SQL, Data Modeling",develops database applications and schemas.,"role: database developer [SEP] description: develops database applications and schemas. [SEP] skills: Database Development, SQL, PL/SQL, Data Modeling"
database analyst,"Data Analysis, SQL, Data Modeling, Reporting",analyzes data stored in databases and creates reports.,"role: database analyst [SEP] description: analyzes data stored in databases and creates reports. [SEP] skills: Data Analysis, SQL, Data Modeling, Reporting"
data warehouse manager,"Data Warehousing, ETL Processes, Data Modeling, Team Leadership",manages data warehouse projects and teams.,"role: data warehouse manager [SEP] description: manages data warehouse projects and teams. [SEP] skills: Data Warehousing, ETL Processes, Data Modeling, Team Leadership"
data warehouse programming specialist,"ETL Processes, SQL, Data Modeling, Data Warehousing",develops and maintains etl processes for data warehousing.,"role: data warehouse programming specialist [SEP] description: develops and maintains etl processes for data warehousing. [SEP] skills: ETL Processes, SQL, Data Modeling, Data Warehousing"
intelligence specialist,"Data Analysis, Intelligence Gathering, Reporting, Security",gathers and analyzes intelligence data to support security and decision-making.,"role: intelligence specialist [SEP] description: gathers and analyzes intelligence data to support security and decision-making. [SEP] skills: Data Analysis, Intelligence Gathering, Reporting, Security"
cloud/software architect,"Cloud Platforms, System Architecture, Cloud Security, DevOps",designs and oversees the implementation of cloud computing strategies.,"role: cloud/software architect [SEP] description: designs and oversees the implementation of cloud computing strategies. [SEP] skills: Cloud Platforms, System Architecture, Cloud Security, DevOps"
cloud/software developer,"Cloud Platforms, Programming Languages, Software Development, Cloud Services",develops software applications on cloud platforms.,"role: cloud/software developer [SEP] description: develops software applications on cloud platforms. [SEP] skills: Cloud Platforms, Programming Languages, Software Development, Cloud Services"
cloud/software applications engineer,"Cloud Platforms, Application Development, Cloud Services, DevOps",develops and deploys applications on cloud platforms.,"role: cloud/software applications engineer [SEP] description: develops and deploys applications on cloud platforms. [SEP] skills: Cloud Platforms, Application Development, Cloud Services, DevOps"
cloud system administrator,"Cloud Platforms, System Administration, Virtualization, Networking",manages and maintains cloud infrastructure ensuring availability and performance.,"role: cloud system administrator [SEP] description: manages and maintains cloud infrastructure ensuring availability and performance. [SEP] skills: Cloud Platforms, System Administration, Virtualization, Networking"
cloud system engineer,"Cloud Platforms, System Engineering, Automation, Scripting",engineers cloud infrastructure implementing automation and ensuring system reliability.,"role: cloud system engineer [SEP] description: engineers cloud infrastructure implementing automation and ensuring system reliability. [SEP] skills: Cloud Platforms, System Engineering, Automation, Scripting"
platform engineer,"Platform Engineering, Cloud Computing, Automation, DevOps Practices",develops and maintains platform infrastructure enabling efficient software development and deployment.,"role: platform engineer [SEP] description: develops and maintains platform infrastructure enabling efficient software development and deployment. [SEP] skills: Platform Engineering, Cloud Computing, Automation, DevOps Practices"
software quality assurance analyst,"QA Processes, Test Planning, Test Execution, Reporting",ensures software quality through testing and reporting.,"role: software quality assurance analyst [SEP] description: ensures software quality through testing and reporting. [SEP] skills: QA Processes, Test Planning, Test Execution, Reporting"
ui user interface designer,"UI Design, User Research, Prototyping, Usability Testing",designs user interfaces ensuring usability and aesthetic appeal.,"role: ui user interface designer [SEP] description: designs user interfaces ensuring usability and aesthetic appeal. [SEP] skills: UI Design, User Research, Prototyping, Usability Testing"
technical account manager,"Customer Relationship Management, Technical Support, Account Management, Sales",manages customer accounts providing technical support and building relationships.,"role: technical account manager [SEP] description: manages customer accounts providing technical support and building relationships. [SEP] skills: Customer Relationship Management, Technical Support, Account Management, Sales"
it sales executive,"Sales, Technology Solutions, Customer Relationship Management, Sales Strategy",sells technology solutions developing sales strategies and building customer relationships.,"role: it sales executive [SEP] description: sells technology solutions developing sales strategies and building customer relationships. [SEP] skills: Sales, Technology Solutions, Customer Relationship Management, Sales Strategy"
it sales director,"Sales Leadership, Sales Strategy, Customer Relationship Management, Team Management",leads it sales teams developing sales strategies and managing customer relationships.,"role: it sales director [SEP] description: leads it sales teams developing sales strategies and managing customer relationships. [SEP] skills: Sales Leadership, Sales Strategy, Customer Relationship Management, Team Management"
technology manager,"IT Management, Team Leadership, Project Management, Budgeting",manages it teams and projects ensuring efficient operations.,"role: technology manager [SEP] description: manages it teams and projects ensuring efficient operations. [SEP] skills: IT Management, Team Leadership, Project Management, Budgeting"
technology assistant,"Technical Support, Administrative Support, Hardware/Software, Troubleshooting",provides technical and administrative support to it teams.,"role: technology assistant [SEP] description: provides technical and administrative support to it teams. [SEP] skills: Technical Support, Administrative Support, Hardware/Software, Troubleshooting"
